,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
235,8 jul 2024,"33,21","33,68","33,00","33,41","28,58",205.400
236,5 jul 2024,"33,08","33,37","32,91","33,09","28,31",306.500
237,3 jul 2024,"33,45","33,56","33,01","33,04","28,27",91.800
238,2 jul 2024,"32,62","33,37","32,56","33,37","28,55",274.000
239,1 jul 2024,"32,85","33,00","32,22","32,45","27,76",288.300
240,28 jun 2024,"32,35","32,69","32,16","32,65","27,93",348.900
241,27 jun 2024,"32,05","32,39","31,72","32,18","27,53",293.700
242,26 jun 2024,"32,84","33,04","32,56","32,87","27,35",328.800
243,25 jun 2024,"33,30","33,66","32,70","32,75","27,25",611.300
244,24 jun 2024,"32,92","33,41","32,92","33,15","27,59",554.800
245,21 jun 2024,"32,71","32,98","32,46","32,59","27,12",295.400
246,20 jun 2024,"33,13","33,31","32,64","32,78","27,28",182.600
247,18 jun 2024,"32,87","33,68","32,86","33,13","27,57",231.400
248,17 jun 2024,"32,30","32,90","32,30","32,76","27,26",210.600
249,14 jun 2024,"32,68","32,85","32,43","32,46","27,01",135.400
