,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad
25,3 abr 2025,40.84,42.53,40.82,42.23,41.66,684.4,4.425266093694271
107,3 dic 2024,32.86,33.05,32.59,32.63,28.65,197.6,4.402899044947561
86,3 ene 2025,32.36,32.6,31.8,31.99,28.81,250.4,4.561938184587801
67,3 feb 2025,38.84,39.25,38.31,38.97,35.1,401.4,4.913951566712887
213,3 jul 2024,33.45,33.56,33.01,33.04,28.28,91.8,4.570899255070055
234,3 jun 2024,36.23,36.61,35.81,35.83,29.83,262.9,2.901640915068612
48,3 mar 2025,42.01,42.68,40.59,40.84,36.78,439.0,3.775821764861254
149,3 oct 2024,31.1,31.37,30.92,30.96,27.18,262.2,4.074698761871849
171,3 sept 2024,32.79,33.1,32.34,32.89,28.15,231.3,3.840412738235327
7,30 abr 2025,40.33,40.53,39.89,40.32,40.32,478.8,4.388891659633438
172,30 ago 2024,32.48,33.19,32.3,33.09,28.32,333.3,4.607271426777461
89,30 dic 2024,31.29,31.7,31.19,31.67,28.52,194.7,3.756465093675204
69,30 ene 2025,40.21,40.62,39.39,39.84,35.88,622.8,4.163468505945496
195,30 jul 2024,32.67,32.74,32.35,32.59,27.9,114.1,4.213462946318624
236,30 may 2024,35.17,35.8,34.86,35.57,29.62,189.5,3.2898358621670085
130,30 oct 2024,31.49,32.82,31.05,32.38,28.43,454.6,3.382728188903176
152,30 sept 2024,31.74,32.03,31.38,31.38,27.55,285.1,3.443395126906027
88,31 dic 2024,31.59,31.85,31.25,31.51,28.38,129.8,1.6962399594398072
68,31 ene 2025,39.89,40.17,39.43,39.55,35.62,371.6,3.4973518553328558
194,31 jul 2024,32.91,33.58,32.7,33.32,28.52,178.1,3.400804316628675
28,31 mar 2025,39.23,40.42,39.04,40.2,39.65,462.5,4.349283849095161
235,31 may 2024,35.53,35.6,35.11,35.46,29.52,283.0,3.803823076853062
129,31 oct 2024,32.3,32.45,31.91,31.91,28.02,235.4,3.688017082389924
24,4 abr 2025,41.12,41.12,39.28,40.04,39.5,947.3,3.807581909821492
106,4 dic 2024,32.65,32.8,32.24,32.3,28.36,264.8,4.020873039527599
