fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad,prediccion
20 ago 2024,34.35,34.35,33.12,33.26,28.47,357.6,3.8578711746246954,35.07029735565101
20 dic 2024,31.6,32.54,31.6,32.19,28.26,214.6,3.8769923910165383,35.08350064557522
20 feb 2025,42.77,44.25,42.55,43.44,39.12,,5.569760318002921,36.2523648672019
20 jun 2024,33.13,33.31,32.64,32.78,27.29,182.6,4.998787853069991,35.85810569253627
20 mar 2025,42.54,42.7,42.25,42.67,38.43,301.7,5.667174781140949,36.31963001253917
20 may 2024,36.35,37.34,36.35,37.31,31.06,340.8,5.300110376209151,36.066170313121724
20 nov 2024,32.86,33.5,32.76,33.47,29.39,375.8,4.990644246988548,35.852482494204196
20 sept 2024,32.22,32.41,31.8,32.16,27.53,444.4,4.3932186378554,35.439957298950496
21 abr 2025,39.73,40.3,39.49,40.03,39.49,455.1,4.394043695731753,35.44052700529775
21 ago 2024,33.53,33.76,33.1,33.18,28.4,124.4,3.3200677703926607,34.69894157352972
21 ene 2025,32.31,32.49,32.05,32.37,29.15,277.2,3.2811537604934267,34.672071266521826
21 feb 2025,43.16,43.66,42.72,42.79,38.54,451.1,4.9538802973023115,35.827096813893945
21 jun 2024,32.71,32.98,32.46,32.59,27.13,295.4,4.87129551556873,35.770071633371366
21 mar 2025,42.45,42.75,42.15,42.68,38.44,595.8,5.497214749307142,36.20227181053759
21 may 2024,37.25,37.85,37.2,37.27,31.03,208.2,5.130458069217595,35.94902459657221
21 nov 2024,33.3,33.61,32.76,32.76,28.77,184.4,5.0342695597276,35.882605977999596
21 oct 2024,33.11,33.4,32.7,33.3,29.24,311.3,4.337597261157389,35.401550476524655
22 abr 2025,40.54,41.4,40.49,41.3,40.74,397.7,4.511808949855919,35.52184446760434
22 ago 2024,33.32,33.32,32.52,32.71,28.0,277.6,3.7715871990449963,35.010717864365176
22 ene 2025,32.27,33.14,32.21,33.07,29.78,359.7,3.737468394515213,34.987158669236436
22 jul 2024,33.77,34.11,33.62,33.95,29.06,133.1,3.6249731033485073,34.90948014115827
22 may 2024,37.16,37.21,35.88,35.94,29.92,247.0,3.530896486729691,34.84451979455412
22 nov 2024,32.8,32.99,32.61,32.79,28.79,85.3,1.3495258426574022,33.338273096873536
22 oct 2024,33.27,33.28,32.6,32.63,28.65,136.0,1.3644705933072254,33.34859251754381
23 abr 2025,41.92,41.99,41.16,41.37,40.81,291.6,3.62282762493609,34.90799867821549
23 ago 2024,33.14,33.45,32.87,32.9,28.16,279.4,3.7514037372695688,34.9967810890035
23 dic 2024,32.15,32.18,31.77,32.18,28.26,126.9,3.9204884899716426,35.11353490664458
23 ene 2025,33.08,34.43,33.02,34.43,31.01,606.1,3.822207477361755,35.04567140481805
23 jul 2024,33.94,34.0,33.43,33.45,28.63,84.8,3.72749647887159,34.98027301454563
23 may 2024,35.97,36.33,35.63,35.89,29.88,171.9,1.4419951456229616,33.40212358583431
23 oct 2024,32.42,32.47,31.05,31.05,27.26,217.8,1.8890738471537358,33.710833533689346
23 sept 2024,32.26,32.71,32.26,32.48,27.8,223.3,1.8448848202530723,33.68032080261188
24 abr 2025,41.74,42.19,41.55,41.65,41.09,224.6,4.1630493631471746,35.281024331332674
24 dic 2024,32.09,32.35,32.09,32.29,28.35,44.9,4.294580305454786,35.37184706612652
24 ene 2025,34.43,35.71,34.35,35.67,32.12,,4.280084111323061,35.3618373758434
24 feb 2025,42.79,43.33,42.48,43.15,38.86,369.9,5.0945284374512925,35.92421501671289
24 jul 2024,33.38,33.42,32.8,32.83,28.1,140.9,5.017899959146245,35.87130269174468
24 jun 2024,32.92,33.41,32.92,33.15,27.6,554.8,4.513127518694776,35.522754945594215
24 mar 2025,42.69,43.25,42.69,43.23,38.93,385.5,5.214871043467884,36.00731215263308
24 may 2024,36.13,36.13,35.17,35.3,29.39,176.5,5.251706389355733,36.03274713235661
24 oct 2024,31.19,31.95,31.14,31.94,28.05,210.5,4.606989255468266,35.58756691665371
